Navn;Ejd_beliggenhed;CVR;KOMMUNE_NR;EJD_NR;Andel;delta_Ejendoms_værdi;delta_Grund_værdi;delta_Stuehus_værdi;delta_Stuehus_Grund_værdi;Vurdering_Aktuel;Ejendoms_værdi_Aktuel;Grund_Værdi_Aktuel;Stuehus_Værdi_Aktuel;Stuehus_grundværdi_Aktuel;Historisk_vurdering;Historisk_ejendomsværdi;Historisk_grundværdi;Historisk_stuehusværdi;Historisk_stuehus_grundværdi;Elavskode;Matrnr
Entreprenørgården;Feddet 6 - Strandareal;29189684;410;2117;100;230000;188600;0;0;2016;610000;472200;0;0;2004;380000;283600;0;0;400360;1H
Entreprenørgården;Feddet 6 - Strandareal;29189684;410;2117;100;230000;188600;0;0;2016;610000;472200;0;0;2004;380000;283600;0;0;400360;1H
Entreprenørgården;Feddet 6 - Strandareal;29189684;410;2117;100;230000;188600;0;0;2016;610000;472200;0;0;2004;380000;283600;0;0;400360;1K
Entreprenørgården;Feddet 6 - Strandareal;29189684;410;2117;100;230000;188600;0;0;2016;610000;472200;0;0;2004;380000;283600;0;0;400360;1K
Entreprenørgården;Feddet 6 - Strandareal;29189684;410;2117;100;230000;188600;0;0;2016;610000;472200;0;0;2004;380000;283600;0;0;400360;1K
Entreprenørgården;Feddet 6 - Strandareal;29189684;410;2117;100;230000;188600;0;0;2016;610000;472200;0;0;2004;380000;283600;0;0;400360;1K
Entreprenørgården;Feddet 6 - Strandareal;29189684;410;2117;100;230000;188600;0;0;2016;610000;472200;0;0;2004;380000;283600;0;0;400360;1DG
Entreprenørgården;Feddet 6 - Strandareal;29189684;410;2117;100;230000;188600;0;0;2016;610000;472200;0;0;2004;380000;283600;0;0;400360;1DG
Entreprenørgården;Feddet 6 - Strandareal;29189684;410;2117;100;230000;188600;0;0;2016;610000;472200;0;0;2004;380000;283600;0;0;400360;1DG
Entreprenørgården;Feddet 6 - Strandareal;29189684;410;2117;100;230000;188600;0;0;2016;610000;472200;0;0;2004;380000;283600;0;0;400360;1DG
Middelfart Kommune;Granlyvej 12-Samlingshus/toilet;29189684;410;2259;100;0;36800;0;0;2016;290000;92000;0;0;2004;290000;55200;0;0;400251;2D
Middelfart kommune;Granlyvej 6 A;29189684;410;2285;100;58400;58400;0;0;2016;148300;148300;0;0;2004;89900;89900;0;0;400251;16E
Middelfart kommune;Mindevej 1,Balslev;29189684;410;2306;100;1200;1200;0;0;2016;2400;2400;0;0;2004;1200;1200;0;0;400251;23B
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AA
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AA
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AA
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AA
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AA
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AA
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AA
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400854;6AA
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AA
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AA
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AA
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AN
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AN
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AN
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AN
Middelfart kommune;Ejby Mose 61;29189684;410;2537;100;-2430000;-2560500;0;0;2016;420000;237300;0;0;2004;2850000;2797800;0;0;400451;6AN
